Time (s),Original (counts),Bandpass (counts),Smoothed (counts)
0.0000,7600,11329.3,-9990.5
0.0064,-60650,-64393.9,-28300.1
0.0128,-48450,-30877.4,-36501.7
0.0192,-24460,-38654.2,-36924.7
0.0256,-57880,-36253.5,-31898.3
0.0320,17930,8324.8,-23751.8
0.0384,-24350,-16218.1,-12812.1
0.0448,-26000,-16388.4,-10533.1
0.0512,5930,-5160.7,-10678.8
0.0575,-49170,-26963.4,-11491.3
0.0639,9940,-2523.7,-13576.0
0.0703,-21000,-9765.0,-14650.9
0.0767,-37100,-29226.2,-16977.8
0.0831,10980,-2054.1,-15911.7
0.0895,-45300,-15500.3,-14921.5
0.0959,-7290,-34862.1,-14411.8
0.1023,-34810,-1098.5,-7452.5
0.1087,27270,7199.8,-2272.4
0.1151,-25770,-9568.3,2459.9
0.1215,12490,16039.8,7875.6
0.1279,21300,13363.1,6441.8
0.1343,-25470,-3607.3,884.3
0.1407,24630,9112.1,-5822.1
0.1471,-38500,-21797.1,-10852.0
0.1535,-27780,-27327.6,-11372.8
0.1598,-470,-5679.6,-11070.1
0.1662,-43720,-21664.8,-12953.3
0.1726,24690,3519.9,-9811.0
0.1790,-9550,19441.3,-3692.2
0.1854,-10000,-28151.7,-2711.2
0.1918,-34760,-17873.5,-1922.4
0.1982,20520,21013.3,-4342.9
0.2046,-4560,-8968.7,-8966.3
0.2110,-28970,-9729.4,-7518.9
0.2174,14790,-574.1,-3599.5
0.2238,-44040,-25331.7,-2082.2
0.2302,10930,7736.4,-1973.6
0.2366,14800,13553.0,3484.6
0.2430,-18050,-476.9,9583.6
0.2494,38540,23115.6,10067.0
0.2558,-16360,3589.0,8926.7
0.2621,12110,7149.4,7539.4
0.2685,16990,16681.8,7140.8
0.2749,-35860,-16582.5,4744.0
0.2813,26310,4063.4,4766.0
0.2877,-5030,28752.7,7452.4
0.2941,21210,-5125.7,4969.2
0.3005,-29400,-2755.7,4466.0
0.3069,32810,23377.5,4148.7
0.3133,-10770,-7207.0,845.9
0.3197,-26280,-11910.1,959.4
0.3261,21210,6333.3,1551.2
0.3325,-27410,-4983.2,30.8
0.3389,22120,11693.0,-3530.1
0.3453,-7540,-591.0,-11059.6
0.3517,-38410,-26918.4,-17422.7
0.3581,7370,-8089.6,-14315.8
0.3645,-58630,-29716.9,-7744.3
0.3708,-14300,-38539.7,-315.5
0.3772,8260,35764.9,9081.8
0.3836,68570,55511.4,10407.2
0.3900,-990,7750.6,8213.6
0.3964,-5310,3942.3,6590.2
0.4028,-9200,-20798.3,-940.8
0.4092,-60540,-38714.9,-11808.4
0.4156,14290,1918.3,-16534.2
0.4220,-14980,-4589.0,-10031.3
0.4284,-9430,-2046.0,-3124.4
0.4348,17040,6396.7,88.6
0.4412,-35640,-13603.0,1009.8
0.4476,26090,12610.1,-2642.9
0.4540,-11450,295.2,-5631.6
0.4604,-33950,-26977.7,-5706.7
0.4668,13730,697.9,-2248.3
0.4731,-33440,-3882.4,-3653.8
0.4795,14530,-13512.0,-11087.6
0.4859,-20410,13353.4,-13742.1
0.4923,14800,-5802.1,-15350.7
0.4987,-64610,-48336.5,-13623.4
0.5051,-27190,-24129.0,-7429.6
0.5115,8280,419.7,-2718.4
0.5179,-5400,16047.9,4157.4
0.5243,57290,41744.8,13184.3
0.5307,-5260,11272.9,21249.8
0.5371,7240,7380.3,25200.0
0.5435,32300,27323.4,21184.6
0.5499,-15480,5844.6,13449.7
0.5563,44330,23871.6,12898.5
0.5627,400,28323.8,13840.2
0.5691,-3360,-20678.1,6323.0
0.5754,-18740,-2620.1,-1378.1
0.5818,23580,24299.3,-8725.1
0.5882,-24880,-29262.5,-15672.2
0.5946,-53790,-34923.8,-17447.6
0.6010,3000,-12069.6,-18213.1
0.6074,-44320,-25792.4,-19496.1
0.6138,-50,-3374.1,-17999.8
0.6202,-12010,-12959.9,-10583.8
0.6266,-39010,-21784.8,-5908.5
0.6330,26580,11412.5,-7957.7
0.6394,-29970,-10091.6,-9225.1
0.6458,-7080,-12027.1,-8363.5
0.6522,-1490,-1742.3,-6861.7
0.6586,-47020,-27620.4,-9664.3
0.6650,15600,-6763.0,-10802.4
0.6714,-21930,12115.6,-7725.2
0.6777,5880,-20475.1,-7685.1
0.6841,-42850,-16202.7,-5691.6
0.6905,19540,10434.2,-5310.4
0.6969,-16010,-12581.8,-8075.0
0.7033,-25480,-10976.3,-8864.4
0.7097,12520,-1826.9,-10870.5
0.7161,-45470,-23854.6,-13372.9
0.7225,3150,-5827.0,-15111.7
0.7289,-22460,-16544.7,-14581.3
0.7353,-41010,-29140.5,-10552.3
0.7417,23850,10139.0,-1981.7
0.7481,-25120,130.6,4501.0
0.7545,16000,-2513.8,3370.5
0.7609,9940,32115.0,5246.4
0.7673,24300,14161.7,4515.4
0.7737,-35840,-24003.9,-1288.7
0.7801,-15620,-16336.1,1611.0
0.7864,2720,8088.8,1769.2
